levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 5},5,1.0,1
2,1,{1: 9},9,1.0,1
3,1,{1: 10},10,1.0,2
4,1,{1: 9},9,1.0,2
5,1,{1: 10},10,1.0,3
6,1,{1: 5},5,1.0,3
7,1,{1: 5},5,1.0,4
8,1,{1: 19},19,1.0,4
9,1,{1: 7},7,1.0,5
10,1,{1: 9},9,1.0,5
11,3,"{1: 19, 2: 14, 3: 23}",56,0.6,6
12,2,"{1: 28, 2: 35}",63,0.8,6
13,1,{1: 12},12,1.0,7
14,5,"{1: 8, 2: 12, 3: 8, 4: 15, 5: 14}",57,0.2,7
15,1,{1: 9},9,1.0,8
16,1,{1: 8},8,1.0,8
17,3,"{1: 7, 2: 15, 3: 34}",56,0.6,9
18,3,"{1: 43, 2: 40, 3: 57}",140,0.6,9
19,2,"{1: 8, 2: 8}",16,0.8,10
20,1,{1: 9},9,1.0,10
21,3,"{1: 11, 2: 16, 3: 32}",59,0.6,11
22,2,"{1: 10, 2: 9}",19,0.8,11
23,1,{1: 6},6,1.0,12
24,1,{1: 8},8,1.0,12
25,1,{1: 7},7,1.0,13
26,2,"{1: 10, 2: 12}",22,0.8,13
27,100,"{1: 16, 2: 35, 3: 13, 4: 18, 5: 12}",94,0.0,14
28,3,"{1: 8, 2: 32, 3: 5}",45,0.6,14
30,1,{1: 7},7,1.0,15
32,1,{1: 15},15,1.0,15
34,1,{1: 10},10,1.0,15
36,2,"{1: 6, 2: 3}",9,0.8,15
