levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 10},10,1.0,1
2,1,{1: 13},13,1.0,1
3,1,{1: 5},5,1.0,2
4,1,{1: 5},5,1.0,2
5,6,"{1: 38, 2: 55, 3: 13, 4: 2, 5: 7, 6: 19}",115,0.0,3
6,1,{1: 28},28,1.0,3
7,1,{1: 47},47,1.0,4
8,1,{1: 37},37,1.0,4
9,5,"{1: 23, 2: 14, 3: 22, 4: 8, 5: 41}",108,0.2,5
10,2,"{1: 22, 2: 31}",53,0.8,5
11,1,{1: 14},14,1.0,6
12,1,{1: 11},11,1.0,6
13,1,{1: 22},22,1.0,7
14,7,"{1: 9, 2: 5, 3: 17, 4: 42, 5: 4, 6: 5, 7: 7}",77,0.0,7
15,2,"{1: 34, 2: 10}",44,0.8,8
16,3,"{1: 10, 2: 7, 3: 11}",28,0.6,8
17,1,{1: 12},12,1.0,9
18,2,"{1: 16, 2: 22}",38,0.8,9
19,1,{1: 13},13,1.0,10
20,2,"{1: 20, 2: 7}",27,0.8,10
21,1,{1: 9},9,1.0,11
22,6,"{1: 18, 2: 13, 3: 16, 4: 10, 5: 9, 6: 7}",66,0.0,11
23,1,{1: 19},19,1.0,12
24,1,{1: 5},5,1.0,12
25,2,"{1: 12, 2: 18}",30,0.8,13
26,100,"{1: 11, 2: 7, 3: 17, 4: 6, 5: 5, 6: 4, 7: 1}",46,0.0,13
27,5,"{1: 16, 2: 5, 3: 13, 4: 8, 5: 12}",54,0.2,14
28,1,{1: 12},12,1.0,14
30,2,"{1: 12, 2: 3}",15,0.8,15
32,1,{1: 9},9,1.0,15
34,1,{1: 15},15,1.0,15
36,7,"{1: 9, 2: 4, 3: 5, 4: 11, 5: 3, 6: 6, 7: 5}",32,0.0,15
