levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 9},9,1.0,1
2,1,{1: 13},13,1.0,1
3,1,{1: 4},4,1.0,2
4,1,{1: 3},3,1.0,2
5,3,"{1: 6, 2: 14, 3: 3}",23,0.6,3
6,1,{1: 5},5,1.0,3
7,1,{1: 3},3,1.0,4
8,2,"{1: 6, 2: 3}",9,0.8,4
9,1,{1: 3},3,1.0,5
10,1,{1: 2},2,1.0,5
11,2,"{1: 3, 2: 4}",7,0.8,6
12,1,{1: 6},6,1.0,6
13,1,{1: 6},6,1.0,7
14,1,{1: 5},5,1.0,7
15,1,{1: 7},7,1.0,8
16,1,{1: 4},4,1.0,8
17,1,{1: 17},17,1.0,9
18,1,{1: 3},3,1.0,9
19,2,"{1: 7, 2: 7}",14,0.8,10
20,1,{1: 8},8,1.0,10
21,2,"{1: 5, 2: 6}",11,0.8,11
22,3,"{1: 8, 2: 21, 3: 10}",39,0.6,11
23,1,{1: 4},4,1.0,12
24,1,{1: 3},3,1.0,12
25,1,{1: 4},4,1.0,13
26,1,{1: 7},7,1.0,13
27,3,"{1: 38, 2: 27, 3: 5}",70,0.6,14
28,3,"{1: 24, 2: 2, 3: 2}",28,0.6,14
30,1,{1: 8},8,1.0,15
32,1,{1: 5},5,1.0,15
34,1,{1: 5},5,1.0,15
36,3,"{1: 12, 2: 8, 3: 3}",23,0.6,15
