levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 3},3,1.0,1
2,1,{1: 3},3,1.0,1
3,1,{1: 5},5,1.0,2
4,1,{1: 6},6,1.0,2
5,1,{1: 4},4,1.0,3
6,1,{1: 6},6,1.0,3
7,1,{1: 3},3,1.0,4
8,1,{1: 7},7,1.0,4
9,1,{1: 2},2,1.0,5
10,2,"{1: 4, 2: 2}",6,0.8,5
11,1,{1: 6},6,1.0,6
12,4,"{1: 7, 2: 12, 3: 4, 4: 9}",32,0.4,6
13,1,{1: 10},10,1.0,7
14,100,"{1: 8, 2: 5, 3: 6, 4: 5, 5: 5, 6: 2}",29,0.0,7
15,1,{1: 18},18,1.0,8
16,1,{1: 2},2,1.0,8
17,3,"{1: 6, 2: 6, 3: 4}",16,0.6,9
18,2,"{1: 7, 2: 4}",11,0.8,9
19,1,{1: 7},7,1.0,10
20,1,{1: 9},9,1.0,10
21,4,"{1: 8, 2: 7, 3: 5, 4: 5}",25,0.4,11
22,3,"{1: 8, 2: 5, 3: 3}",16,0.6,11
23,1,{1: 5},5,1.0,12
24,2,"{1: 5, 2: 6}",11,0.8,12
25,1,{1: 6},6,1.0,13
26,2,"{1: 8, 2: 4}",12,0.8,13
27,2,"{1: 32, 2: 3}",35,0.8,14
28,2,"{1: 15, 2: 4}",19,0.8,14
30,2,"{1: 6, 2: 5}",11,0.8,15
32,1,{1: 5},5,1.0,15
34,2,"{1: 8, 2: 10}",18,0.8,15
36,1,{1: 4},4,1.0,15
