levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 26},26,1.0,1
2,1,{1: 29},29,1.0,1
3,1,{1: 7},7,1.0,2
4,1,{1: 8},8,1.0,2
5,3,"{1: 17, 2: 19, 3: 17}",53,0.6,3
6,1,{1: 8},8,1.0,3
7,1,{1: 5},5,1.0,4
8,1,{1: 10},10,1.0,4
9,1,{1: 4},4,1.0,5
10,2,"{1: 6, 2: 19}",25,0.8,5
11,1,{1: 16},16,1.0,6
12,1,{1: 12},12,1.0,6
13,1,{1: 16},16,1.0,7
14,4,"{1: 7, 2: 13, 3: 8, 4: 4}",32,0.4,7
15,1,{1: 14},14,1.0,8
16,6,"{1: 14, 2: 7, 3: 13, 4: 40, 5: 31, 6: 14}",105,0.0,8
17,4,"{1: 7, 2: 6, 3: 8, 4: 8}",29,0.4,9
18,2,"{1: 10, 2: 4}",14,0.8,9
19,1,{1: 10},10,1.0,10
20,2,"{1: 11, 2: 4}",15,0.8,10
21,2,"{1: 8, 2: 8}",16,0.8,11
22,2,"{1: 7, 2: 5}",12,0.8,11
23,1,{1: 5},5,1.0,12
24,1,{1: 5},5,1.0,12
25,1,{1: 8},8,1.0,13
26,1,{1: 13},13,1.0,13
27,1,{1: 49},49,1.0,14
28,5,"{1: 28, 2: 17, 3: 4, 4: 8, 5: 6}",63,0.2,14
30,2,"{1: 10, 2: 9}",19,0.8,15
32,2,"{1: 9, 2: 7}",16,0.8,15
34,1,{1: 4},4,1.0,15
36,1,{1: 7},7,1.0,15
