levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 11},11,1.0,1
2,1,{1: 22},22,1.0,1
3,1,{1: 17},17,1.0,2
4,1,{1: 11},11,1.0,2
5,1,{1: 24},24,1.0,3
6,1,{1: 5},5,1.0,3
7,1,{1: 6},6,1.0,4
8,1,{1: 10},10,1.0,4
9,1,{1: 4},4,1.0,5
10,2,"{1: 6, 2: 22}",28,0.8,5
11,3,"{1: 7, 2: 11, 3: 5}",23,0.6,6
12,2,"{1: 8, 2: 10}",18,0.8,6
13,2,"{1: 33, 2: 9}",42,0.8,7
14,6,"{1: 12, 2: 6, 3: 14, 4: 8, 5: 8, 6: 14}",48,0.0,7
15,1,{1: 8},8,1.0,8
16,5,"{1: 13, 2: 14, 3: 9, 4: 19, 5: 16}",71,0.2,8
17,3,"{1: 8, 2: 6, 3: 7}",21,0.6,9
18,4,"{1: 11, 2: 6, 3: 6, 4: 8}",31,0.4,9
19,1,{1: 7},7,1.0,10
20,1,{1: 10},10,1.0,10
21,6,"{1: 15, 2: 11, 3: 31, 4: 16, 5: 17, 6: 4}",90,0.0,11
22,3,"{1: 19, 2: 6, 3: 5}",30,0.6,11
23,2,"{1: 6, 2: 4}",10,0.8,12
24,1,{1: 7},7,1.0,12
25,2,"{1: 6, 2: 5}",11,0.8,13
26,2,"{1: 17, 2: 8}",25,0.8,13
27,1,{1: 17},17,1.0,14
28,6,"{1: 11, 2: 8, 3: 6, 4: 5, 5: 16, 6: 13}",46,0.0,14
30,1,{1: 11},11,1.0,15
32,2,"{1: 11, 2: 4}",15,0.8,15
34,2,"{1: 7, 2: 19}",26,0.8,15
36,2,"{1: 11, 2: 7}",18,0.8,15
