levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 11},11,1.0,1
2,2,"{1: 23, 2: 21}",44,0.8,1
3,1,{1: 7},7,1.0,2
4,1,{1: 11},11,1.0,2
5,5,"{1: 38, 2: 10, 3: 35, 4: 13, 5: 14}",110,0.2,3
6,1,{1: 10},10,1.0,3
7,1,{1: 25},25,1.0,4
8,1,{1: 21},21,1.0,4
9,1,{1: 21},21,1.0,5
10,1,{1: 11},11,1.0,5
11,7,"{1: 39, 2: 31, 3: 9, 4: 19, 5: 29, 6: 10, 7: 13}",127,0.0,6
12,2,"{1: 21, 2: 16}",37,0.8,6
13,1,{1: 22},22,1.0,7
14,4,"{1: 42, 2: 7, 3: 12, 4: 8}",69,0.4,7
15,1,{1: 25},25,1.0,8
16,1,{1: 52},52,1.0,8
17,1,{1: 18},18,1.0,9
18,1,{1: 43},43,1.0,9
19,1,{1: 30},30,1.0,10
20,4,"{1: 89, 2: 69, 3: 8, 4: 34}",200,0.4,10
21,5,"{1: 21, 2: 30, 3: 20, 4: 15, 5: 8}",94,0.2,11
22,6,"{1: 27, 2: 9, 3: 9, 4: 16, 5: 10, 6: 6}",71,0.0,11
23,1,{1: 7},7,1.0,12
24,1,{1: 10},10,1.0,12
25,1,{1: 19},19,1.0,13
26,1,{1: 21},21,1.0,13
27,2,"{1: 36, 2: 62}",98,0.8,14
28,100,"{1: 28, 2: 106, 3: 88, 4: 11, 5: 10, 6: 9, 7: 4, 8: 4, 9: 29}",243,0.0,14
30,1,{1: 18},18,1.0,15
32,4,"{1: 31, 2: 4, 3: 9, 4: 5}",49,0.4,15
34,1,{1: 26},26,1.0,15
36,1,{1: 11},11,1.0,15
