levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 32},32,1.0,1
2,1,{1: 30},30,1.0,1
3,1,{1: 14},14,1.0,2
4,1,{1: 6},6,1.0,2
5,9,"{1: 25, 2: 10, 3: 49, 4: 12, 5: 45, 6: 7, 7: 12, 8: 11, 9: 42}",141,0.0,3
6,1,{1: 42},42,1.0,3
7,1,{1: 7},7,1.0,4
8,1,{1: 18},18,1.0,4
9,1,{1: 25},25,1.0,5
10,4,"{1: 6, 2: 12, 3: 11, 4: 9}",38,0.4,5
11,2,"{1: 11, 2: 7}",18,0.8,6
12,1,{1: 8},8,1.0,6
13,2,"{1: 19, 2: 5}",24,0.8,7
14,7,"{1: 10, 2: 13, 3: 5, 4: 20, 5: 7, 6: 6, 7: 10}",55,0.0,7
15,1,{1: 10},10,1.0,8
16,1,{1: 14},14,1.0,8
17,4,"{1: 11, 2: 11, 3: 6, 4: 10}",38,0.4,9
18,2,"{1: 60, 2: 16}",76,0.8,9
19,2,"{1: 13, 2: 4}",17,0.8,10
20,3,"{1: 16, 2: 27, 3: 8}",51,0.6,10
21,4,"{1: 42, 2: 10, 3: 12, 4: 21}",85,0.4,11
22,3,"{1: 18, 2: 33, 3: 11}",62,0.6,11
23,1,{1: 8},8,1.0,12
24,1,{1: 13},13,1.0,12
25,1,{1: 20},20,1.0,13
26,1,{1: 27},27,1.0,13
27,7,"{1: 67, 2: 7, 3: 27, 4: 26, 5: 29, 6: 69, 7: 19}",156,0.0,14
28,4,"{1: 20, 2: 17, 3: 5, 4: 3}",45,0.4,14
30,1,{1: 14},14,1.0,15
32,1,{1: 9},9,1.0,15
34,2,"{1: 23, 2: 12}",35,0.8,15
36,5,"{1: 29, 2: 17, 3: 10, 4: 13, 5: 6}",75,0.2,15
