levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 48},48,1.0,1
2,1,{1: 18},18,1.0,1
3,1,{1: 20},20,1.0,2
4,1,{1: 6},6,1.0,2
5,1,{1: 15},15,1.0,3
6,1,{1: 7},7,1.0,3
7,1,{1: 6},6,1.0,4
8,1,{1: 18},18,1.0,4
9,1,{1: 15},15,1.0,5
10,2,"{1: 6, 2: 9}",15,0.8,5
11,4,"{1: 36, 2: 31, 3: 6, 4: 15}",88,0.4,6
12,7,"{1: 13, 2: 61, 3: 86, 4: 80, 5: 6, 6: 22, 7: 6}",246,0.0,6
13,1,{1: 11},11,1.0,7
14,5,"{1: 8, 2: 5, 3: 7, 4: 6, 5: 11}",37,0.2,7
15,1,{1: 8},8,1.0,8
16,1,{1: 14},14,1.0,8
17,2,"{1: 14, 2: 10}",24,0.8,9
18,4,"{1: 15, 2: 12, 3: 10, 4: 9}",46,0.4,9
19,1,{1: 11},11,1.0,10
20,1,{1: 8},8,1.0,10
21,3,"{1: 15, 2: 9, 3: 27}",51,0.6,11
22,1,{1: 25},25,1.0,11
23,1,{1: 7},7,1.0,12
24,1,{1: 6},6,1.0,12
25,1,{1: 31},31,1.0,13
26,1,{1: 16},16,1.0,13
27,3,"{1: 34, 2: 9, 3: 12}",55,0.6,14
28,2,"{1: 37, 2: 6}",43,0.8,14
30,1,{1: 13},13,1.0,15
32,1,{1: 10},10,1.0,15
34,1,{1: 23},23,1.0,15
36,1,{1: 6},6,1.0,15
