levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 10},10,1.0,1
2,1,{1: 15},15,1.0,1
3,1,{1: 6},6,1.0,2
4,1,{1: 5},5,1.0,2
5,3,"{1: 12, 2: 13, 3: 11}",36,0.6,3
6,1,{1: 13},13,1.0,3
7,1,{1: 9},9,1.0,4
8,1,{1: 16},16,1.0,4
9,1,{1: 11},11,1.0,5
10,2,"{1: 9, 2: 10}",19,0.8,5
11,2,"{1: 24, 2: 17}",41,0.8,6
12,1,{1: 14},14,1.0,6
13,1,{1: 26},26,1.0,7
14,2,"{1: 16, 2: 16}",32,0.8,7
15,1,{1: 15},15,1.0,8
16,1,{1: 22},22,1.0,8
17,2,"{1: 17, 2: 4}",21,0.8,9
18,4,"{1: 6, 2: 9, 3: 9, 4: 13}",37,0.4,9
19,1,{1: 18},18,1.0,10
20,1,{1: 9},9,1.0,10
21,2,"{1: 21, 2: 18}",39,0.8,11
22,2,"{1: 15, 2: 9}",24,0.8,11
23,1,{1: 7},7,1.0,12
24,1,{1: 13},13,1.0,12
25,1,{1: 10},10,1.0,13
26,1,{1: 22},22,1.0,13
27,5,"{1: 24, 2: 45, 3: 20, 4: 102, 5: 6}",197,0.2,14
28,100,"{1: 19, 2: 15, 3: 12, 4: 3, 5: 3}",52,0.0,14
30,1,{1: 12},12,1.0,15
32,1,{1: 12},12,1.0,15
34,1,{1: 7},7,1.0,15
36,2,"{1: 12, 2: 5}",17,0.8,15
