levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 4},4,1.0,1
2,1,{1: 8},8,1.0,1
3,1,{1: 9},9,1.0,2
4,1,{1: 7},7,1.0,2
5,3,"{1: 13, 2: 13, 3: 36}",62,0.6,3
6,1,{1: 15},15,1.0,3
7,1,{1: 7},7,1.0,4
8,1,{1: 17},17,1.0,4
9,1,{1: 20},20,1.0,5
10,2,"{1: 4, 2: 10}",14,0.8,5
11,1,{1: 17},17,1.0,6
12,1,{1: 8},8,1.0,6
13,3,"{1: 14, 2: 8, 3: 15}",37,0.6,7
14,1,{1: 5},5,1.0,7
15,1,{1: 14},14,1.0,8
16,2,"{1: 10, 2: 12}",22,0.8,8
17,2,"{1: 27, 2: 14}",41,0.8,9
18,1,{1: 7},7,1.0,9
19,1,{1: 7},7,1.0,10
20,1,{1: 16},16,1.0,10
21,2,"{1: 24, 2: 5}",29,0.8,11
22,3,"{1: 17, 2: 5, 3: 9}",31,0.6,11
23,1,{1: 5},5,1.0,12
24,1,{1: 5},5,1.0,12
25,1,{1: 5},5,1.0,13
26,1,{1: 13},13,1.0,13
27,1,{1: 33},33,1.0,14
28,2,"{1: 13, 2: 7}",20,0.8,14
30,2,"{1: 14, 2: 9}",23,0.8,15
32,1,{1: 5},5,1.0,15
34,1,{1: 9},9,1.0,15
36,1,{1: 14},14,1.0,15
