levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 5},5,1.0,1
2,1,{1: 12},12,1.0,1
3,1,{1: 5},5,1.0,2
4,1,{1: 20},20,1.0,2
5,1,{1: 22},22,1.0,3
6,1,{1: 14},14,1.0,3
7,1,{1: 6},6,1.0,4
8,3,"{1: 17, 2: 9, 3: 17}",43,0.6,4
9,1,{1: 6},6,1.0,5
10,1,{1: 8},8,1.0,5
11,3,"{1: 16, 2: 3, 3: 12}",31,0.6,6
12,1,{1: 29},29,1.0,6
13,6,"{1: 5, 2: 20, 3: 13, 4: 7, 5: 7, 6: 15}",52,0.0,7
14,13,"{1: 11, 2: 3, 3: 24, 4: 6, 5: 6, 6: 5, 7: 4, 8: 34, 9: 12, 10: 12, 11: 5, 12: 8, 13: 4}",50,0.0,7
15,2,"{1: 8, 2: 4}",12,0.8,8
16,4,"{1: 19, 2: 17, 3: 7, 4: 3}",46,0.4,8
17,2,"{1: 10, 2: 14}",24,0.8,9
18,5,"{1: 7, 2: 16, 3: 12, 4: 7, 5: 6}",48,0.2,9
19,1,{1: 11},11,1.0,10
20,2,"{1: 12, 2: 5}",17,0.8,10
21,4,"{1: 5, 2: 8, 3: 9, 4: 7}",29,0.4,11
22,7,"{1: 12, 2: 12, 3: 7, 4: 6, 5: 3, 6: 8, 7: 3}",40,0.0,11
23,1,{1: 5},5,1.0,12
24,1,{1: 8},8,1.0,12
25,1,{1: 6},6,1.0,13
26,2,"{1: 10, 2: 24}",34,0.8,13
27,5,"{1: 10, 2: 13, 3: 9, 4: 11, 5: 11}",54,0.2,14
28,7,"{1: 8, 2: 22, 3: 8, 4: 5, 5: 19, 6: 20, 7: 6}",62,0.0,14
30,1,{1: 10},10,1.0,15
32,2,"{1: 11, 2: 4}",15,0.8,15
34,1,{1: 13},13,1.0,15
36,1,{1: 5},5,1.0,15
