levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 17},17,1.0,1
2,1,{1: 11},11,1.0,1
3,1,{1: 5},5,1.0,2
4,2,"{1: 19, 2: 10}",29,0.8,2
5,2,"{1: 18, 2: 44}",62,0.8,3
6,1,{1: 7},7,1.0,3
7,1,{1: 6},6,1.0,4
8,1,{1: 21},21,1.0,4
9,4,"{1: 30, 2: 11, 3: 32, 4: 9}",82,0.4,5
10,1,{1: 11},11,1.0,5
11,1,{1: 9},9,1.0,6
12,2,"{1: 14, 2: 23}",37,0.8,6
13,1,{1: 8},8,1.0,7
14,2,"{1: 11, 2: 21}",32,0.8,7
15,2,"{1: 21, 2: 4}",25,0.8,8
16,2,"{1: 10, 2: 7}",17,0.8,8
17,3,"{1: 18, 2: 16, 3: 26}",60,0.6,9
18,4,"{1: 10, 2: 13, 3: 14, 4: 43}",80,0.4,9
19,1,{1: 13},13,1.0,10
20,1,{1: 9},9,1.0,10
21,4,"{1: 18, 2: 12, 3: 7, 4: 18}",55,0.4,11
22,3,"{1: 10, 2: 11, 3: 28}",49,0.6,11
23,1,{1: 8},8,1.0,12
24,1,{1: 7},7,1.0,12
25,1,{1: 8},8,1.0,13
26,1,{1: 9},9,1.0,13
27,1,{1: 25},25,1.0,14
28,3,"{1: 19, 2: 3, 3: 6}",28,0.6,14
30,1,{1: 8},8,1.0,15
32,1,{1: 9},9,1.0,15
34,1,{1: 13},13,1.0,15
36,1,{1: 15},15,1.0,15
