levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 0},0,1.0,1
2,1,{1: 0},0,1.0,1
3,1,{1: 0},0,1.0,2
4,1,{1: 0},0,1.0,2
5,1,{1: 0},0,1.0,3
6,1,{1: 0},0,1.0,3
7,1,{1: 0},0,1.0,4
8,1,{1: 0},0,1.0,4
9,1,{1: 0},0,1.0,5
10,1,{1: 0},0,1.0,5
11,2,"{1: 0, 2: 0}",0,0.8,6
12,1,{1: 0},0,1.0,6
13,1,{1: 0},0,1.0,7
14,100,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",0,0.0,7
15,1,{1: 0},0,1.0,8
16,100,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0.0,8
17,3,"{1: 0, 2: 0, 3: 0}",0,0.6,9
18,2,"{1: 0, 2: 0}",0,0.8,9
19,1,{1: 0},0,1.0,10
20,2,"{1: 0, 2: 0}",0,0.8,10
21,5,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0.2,11
22,3,"{1: 0, 2: 0, 3: 0}",0,0.6,11
23,1,{1: 0},0,1.0,12
24,1,{1: 0},0,1.0,12
25,1,{1: 0},0,1.0,13
26,1,{1: 0},0,1.0,13
27,2,"{1: 0, 2: 0}",0,0.8,14
28,4,"{1: 0, 2: 0, 3: 0, 4: 0}",0,0.4,14
30,2,"{1: 0, 2: 0}",0,0.8,15
32,1,{1: 0},0,1.0,15
34,1,{1: 0},0,1.0,15
36,1,{1: 0},0,1.0,15
