levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 4},4,1.0,1
2,1,{1: 13},13,1.0,1
3,1,{1: 11},11,1.0,2
4,1,{1: 8},8,1.0,2
5,1,{1: 6},6,1.0,3
6,1,{1: 4},4,1.0,3
7,1,{1: 8},8,1.0,4
8,1,{1: 9},9,1.0,4
9,3,"{1: 6, 2: 10, 3: 20}",36,0.6,5
10,1,{1: 6},6,1.0,5
11,1,{1: 7},7,1.0,6
12,1,{1: 6},6,1.0,6
13,1,{1: 10},10,1.0,7
14,1,{1: 7},7,1.0,7
15,1,{1: 7},7,1.0,8
16,1,{1: 11},11,1.0,8
17,1,{1: 4},4,1.0,9
18,2,"{1: 6, 2: 5}",11,0.8,9
19,1,{1: 6},6,1.0,10
20,1,{1: 4},4,1.0,10
21,5,"{1: 11, 2: 4, 3: 16, 4: 5, 5: 10}",46,0.2,11
22,4,"{1: 9, 2: 4, 3: 4, 4: 7}",24,0.4,11
23,1,{1: 7},7,1.0,12
24,1,{1: 4},4,1.0,12
25,2,"{1: 14, 2: 6}",20,0.8,13
26,2,"{1: 8, 2: 4}",12,0.8,13
27,1,{1: 16},16,1.0,14
28,1,{1: 8},8,1.0,14
30,1,{1: 9},9,1.0,15
32,6,"{1: 13, 2: 3, 3: 4, 4: 8, 5: 4, 6: 14}",32,0.0,15
34,5,"{1: 13, 2: 8, 3: 8, 4: 3, 5: 15}",47,0.2,15
36,1,{1: 5},5,1.0,15
