levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 7},7,1.0,1
2,2,"{1: 6, 2: 9}",15,0.8,1
3,1,{1: 7},7,1.0,2
4,1,{1: 18},18,1.0,2
5,2,"{1: 17, 2: 5}",22,0.8,3
6,1,{1: 13},13,1.0,3
7,2,"{1: 7, 2: 9}",16,0.8,4
8,1,{1: 12},12,1.0,4
9,1,{1: 11},11,1.0,5
10,2,"{1: 5, 2: 16}",21,0.8,5
11,5,"{1: 27, 2: 38, 3: 4, 4: 6, 5: 11}",86,0.2,6
12,1,{1: 14},14,1.0,6
13,2,"{1: 26, 2: 11}",37,0.8,7
14,3,"{1: 17, 2: 7, 3: 10}",34,0.6,7
15,1,{1: 32},32,1.0,8
16,5,"{1: 22, 2: 17, 3: 11, 4: 35, 5: 5}",90,0.2,8
17,1,{1: 17},17,1.0,9
18,1,{1: 13},13,1.0,9
19,1,{1: 10},10,1.0,10
20,1,{1: 17},17,1.0,10
21,7,"{1: 9, 2: 5, 3: 12, 4: 18, 5: 49, 6: 46, 7: 3}",93,0.0,11
22,5,"{1: 12, 2: 4, 3: 9, 4: 5, 5: 6}",36,0.2,11
23,1,{1: 5},5,1.0,12
24,1,{1: 12},12,1.0,12
25,2,"{1: 13, 2: 8}",21,0.8,13
26,1,{1: 20},20,1.0,13
27,2,"{1: 16, 2: 17}",33,0.8,14
28,2,"{1: 13, 2: 31}",44,0.8,14
30,1,{1: 19},19,1.0,15
32,7,"{1: 19, 2: 2, 3: 5, 4: 5, 5: 11, 6: 5, 7: 10}",42,0.0,15
34,1,{1: 22},22,1.0,15
36,3,"{1: 7, 2: 5, 3: 4}",16,0.6,15
