levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 5},5,1.0,1
2,1,{1: 8},8,1.0,1
3,1,{1: 5},5,1.0,2
4,1,{1: 6},6,1.0,2
5,2,"{1: 8, 2: 3}",11,0.8,3
6,1,{1: 3},3,1.0,3
7,1,{1: 4},4,1.0,4
8,1,{1: 13},13,1.0,4
9,1,{1: 3},3,1.0,5
10,1,{1: 3},3,1.0,5
11,2,"{1: 9, 2: 4}",13,0.8,6
12,1,{1: 8},8,1.0,6
13,1,{1: 5},5,1.0,7
14,100,"{1: 10, 2: 4, 3: 7, 4: 3, 5: 3, 6: 7, 7: 5, 8: 0}",27,0.0,7
15,1,{1: 6},6,1.0,8
16,1,{1: 8},8,1.0,8
17,4,"{1: 7, 2: 2, 3: 2, 4: 4}",15,0.4,9
18,2,"{1: 5, 2: 4}",9,0.8,9
19,1,{1: 4},4,1.0,10
20,2,"{1: 21, 2: 3}",24,0.8,10
21,2,"{1: 17, 2: 7}",24,0.8,11
22,5,"{1: 9, 2: 9, 3: 8, 4: 10, 5: 7}",43,0.2,11
23,1,{1: 4},4,1.0,12
24,1,{1: 4},4,1.0,12
25,1,{1: 6},6,1.0,13
26,1,{1: 9},9,1.0,13
27,1,{1: 34},34,1.0,14
28,1,{1: 19},19,1.0,14
30,1,{1: 8},8,1.0,15
32,1,{1: 5},5,1.0,15
34,1,{1: 12},12,1.0,15
36,1,{1: 5},5,1.0,15
