levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 10},10,1.0,1
2,6,"{1: 8, 2: 10, 3: 4, 4: 15, 5: 11, 6: 8}",48,0.0,1
3,1,{1: 16},16,1.0,2
4,2,"{1: 8, 2: 10}",18,0.8,2
5,2,"{1: 14, 2: 5}",19,0.8,3
6,1,{1: 4},4,1.0,3
7,1,{1: 9},9,1.0,4
8,1,{1: 8},8,1.0,4
9,6,"{1: 15, 2: 15, 3: 76, 4: 13, 5: 24, 6: 7}",143,0.0,5
10,1,{1: 8},8,1.0,5
11,2,"{1: 14, 2: 5}",19,0.8,6
12,1,{1: 6},6,1.0,6
13,1,{1: 5},5,1.0,7
14,100,"{1: 8, 2: 11, 3: 10, 4: 4, 5: 10, 6: 8, 7: 5, 8: 4, 9: 8, 10: 16}",43,0.0,7
15,1,{1: 10},10,1.0,8
16,2,"{1: 11, 2: 5}",16,0.8,8
17,1,{1: 7},7,1.0,9
18,4,"{1: 10, 2: 10, 3: 5, 4: 4}",29,0.4,9
19,1,{1: 4},4,1.0,10
20,1,{1: 5},5,1.0,10
21,2,"{1: 7, 2: 5}",12,0.8,11
22,5,"{1: 10, 2: 8, 3: 11, 4: 6, 5: 3}",38,0.2,11
23,2,"{1: 6, 2: 4}",10,0.8,12
24,1,{1: 4},4,1.0,12
25,2,"{1: 4, 2: 3}",7,0.8,13
26,1,{1: 7},7,1.0,13
27,4,"{1: 6, 2: 6, 3: 7, 4: 12}",31,0.4,14
28,4,"{1: 9, 2: 7, 3: 3, 4: 3}",22,0.4,14
30,1,{1: 8},8,1.0,15
32,2,"{1: 3, 2: 6}",9,0.8,15
34,4,"{1: 6, 2: 4, 3: 5, 4: 4}",19,0.4,15
36,1,{1: 4},4,1.0,15
